SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2194752,TCGA-83-5908-01,PPARG,normal,      -0.212,417
2339308,TCGA-FG-A87N-01,PPARG,normal,       0.948,545
2120475,TCGA-BP-4759-01,PPARG,normal,       0.286,416
1782304,TCGA-60-2722-01,PPARG,normal,       0.593,418
1900028,TCGA-C8-A26V-01,PPARG,normal,      -0.790,414
1899781,TCGA-AO-A0JE-01,PPARG,normal,      -0.369,414
2120362,TCGA-41-2571-01,PPARG,normal,      -0.137,329
1899882,TCGA-BH-A0AZ-01,PPARG,normal,       0.166,414
2193820,TCGA-CR-6473-01,PPARG,normal,      -0.674,627
1651282,TCGA-DM-A1DA-01,PPARG,normal,      -0.789,376
2194243,TCGA-DU-6403-01,PPARG,normal,       1.436,545
1779419,TCGA-AN-A0AR-01,PPARG,normal,       0.293,414
1781625,TCGA-43-2578-01,PPARG,normal,      -0.626,418
1651523,TCGA-AF-6655-01,PPARG,normal,      -0.707,375
1898089,TCGA-CF-A3MH-01,PPARG,normal,       0.849,413
1899818,TCGA-AR-A1AK-01,PPARG,normal,       0.067,414
2198270,TCGA-A5-A1OF-01,PPARG,normal,      -0.630,419
2340269,TCGA-VS-A950-01,PPARG,normal,      -0.409,415
1651544,TCGA-AG-3605-01,PPARG,normal,      -0.613,375
2269754,TCGA-DX-A8BH-01,PPARG,normal,       0.018,635
2263131,TCGA-EJ-A65M-01,PPARG,normal,      -0.264,435
2263133,TCGA-FC-A8O0-01,PPARG,normal,       0.251,435
2339446,TCGA-KK-A6E2-01,PPARG,normal,      -0.355,435
2122178,TCGA-H2-A3RI-01,PPARG,normal,      -0.075,542
2187700,TCGA-OL-A5RV-01,PPARG,normal,      -0.495,414
2121733,TCGA-ER-A2NF-01,PPARG,normal,      -0.547,540
1899713,TCGA-A8-A091-01,PPARG,normal,      -0.458,414
2193814,TCGA-CV-7235-01,PPARG,normal,      -0.400,627
2121880,TCGA-DJ-A2PN-01,PPARG,normal,      -0.126,542
1779829,TCGA-B0-5095-01,PPARG,normal,      -0.657,416
2194571,TCGA-DD-A3A6-01,PPARG,over,      11.960,628
1797157,TCGA-CH-5744-01,PPARG,normal,      -0.632,435
2269765,TCGA-HS-A5NA-01,PPARG,normal,      -0.331,635
2386243,TCGA-KP-A3VZ-01,PPARG,normal,      -0.658,419
2194391,TCGA-DU-6410-01,PPARG,normal,      -0.855,545
2122107,TCGA-ET-A39J-01,PPARG,normal,      -0.108,542
1910205,TCGA-06-0210-01,PPARG,normal,       0.571,329
2339509,TCGA-DE-A7U5-01,PPARG,normal,      -0.087,542
1651557,TCGA-AG-3881-01,PPARG,normal,      -1.298,375
1651293,TCGA-DM-A28F-01,PPARG,normal,       0.627,376
1899847,TCGA-AR-A24Z-01,PPARG,normal,      -0.174,414
2340024,TCGA-DU-A7TG-01,PPARG,normal,       0.794,545
2339823,TCGA-UF-A7J9-01,PPARG,normal,       1.954,627
1779933,TCGA-BP-5004-01,PPARG,normal,      -0.451,416
2198321,TCGA-AX-A3G3-01,PPARG,normal,      -0.613,419
2263088,TCGA-QH-A6CV-01,PPARG,normal,       0.840,545
1780164,TCGA-50-5939-01,PPARG,normal,      -0.222,417
1474918,TCGA-25-1319-01,PPARG,normal,      -0.345,331
2263167,TCGA-C5-A3HL-01,PPARG,normal,      -0.424,415
1650443,TCGA-AB-2952-03,PPARG,normal,      -0.442,377
2263415,TCGA-UF-A7JV-01,PPARG,normal,      -0.163,627
1651585,TCGA-AH-6643-01,PPARG,normal,      -1.708,375
2340104,TCGA-XJ-A9DK-01,PPARG,normal,       0.538,435
