SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2194771,TCGA-86-8056-01,HRAS,normal,      -0.463,417
1650957,TCGA-A6-6650-01,HRAS,normal,      -0.406,376
2195221,TCGA-56-8628-01,HRAS,normal,      -1.098,418
1914077,TCGA-78-7633-01,HRAS,normal,      -0.566,417
2193866,TCGA-CR-6492-01,HRAS,normal,      -0.036,627
1914080,TCGA-86-6851-01,HRAS,normal,      -0.558,417
1779468,TCGA-AO-A0JG-01,HRAS,normal,      -0.346,414
2193204,TCGA-BT-A2LB-01,HRAS,normal,       0.026,413
2194813,TCGA-62-A46V-01,HRAS,normal,       0.022,417
2198428,TCGA-BK-A26L-01,HRAS,normal,      -0.431,419
1797198,TCGA-EJ-5510-01,HRAS,normal,      -0.506,435
1900231,TCGA-EW-A1IW-01,HRAS,normal,      -0.435,414
2195085,TCGA-37-4130-01,HRAS,normal,      -1.044,418
1899634,TCGA-A2-A0YD-01,HRAS,normal,      -0.523,414
2121859,TCGA-DJ-A13M-01,HRAS,normal,       1.779,542
2193237,TCGA-FD-A3SP-01,HRAS,normal,      -0.749,413
2187715,TCGA-LD-A7W6-01,HRAS,normal,      -0.237,414
2120495,TCGA-BP-4807-01,HRAS,normal,      -0.611,416
2193936,TCGA-A3-3319-01,HRAS,normal,      -0.475,416
2339241,TCGA-GH-A9DA-01,HRAS,normal,       0.820,415
1783460,TCGA-BS-A0T9-01,HRAS,normal,       1.547,419
2187763,TCGA-E9-A2JT-01,HRAS,normal,      -0.502,414
2198052,TCGA-D7-6820-01,HRAS,normal,       1.143,541
1783174,TCGA-85-6560-01,HRAS,normal,      -0.686,418
2386234,TCGA-B5-A3FH-01,HRAS,normal,      -0.507,419
2122174,TCGA-GE-A2C6-01,HRAS,normal,      -0.177,542
1731195,TCGA-24-1843-01,HRAS,normal,       0.225,331
2193282,TCGA-FD-A62P-01,HRAS,normal,      -0.749,413
1337881,TCGA-06-2562-01,HRAS,normal,      -0.617,329
1781472,TCGA-37-4141-01,HRAS,normal,      -1.281,418
1651190,TCGA-CA-6719-01,HRAS,normal,      -0.657,376
2121794,TCGA-GN-A264-06,HRAS,normal,      -0.759,540
1783353,TCGA-AP-A0LN-01,HRAS,normal,       0.237,419
2193485,TCGA-C9-A480-01,HRAS,normal,      -0.115,627
2196375,TCGA-23-2084-01,HRAS,normal,       0.271,331
2121870,TCGA-DJ-A1QE-01,HRAS,normal,      -0.468,542
2339531,TCGA-GD-A76B-01,HRAS,normal,      -0.459,413
2187768,TCGA-E2-A570-01,HRAS,normal,       0.422,414
1779419,TCGA-AN-A0AR-01,HRAS,normal,      -0.397,414
1899745,TCGA-AN-A04A-01,HRAS,normal,      -0.193,414
1783359,TCGA-AP-A1DQ-01,HRAS,normal,      -1.254,419
2122075,TCGA-EM-A3FO-01,HRAS,normal,       0.719,542
1651266,TCGA-D5-6927-01,HRAS,normal,       0.120,376
2339446,TCGA-KK-A6E2-01,HRAS,normal,      -0.850,435
2120404,TCGA-AK-3431-01,HRAS,normal,      -0.194,416
2195224,TCGA-77-6842-01,HRAS,normal,      -0.475,418
2339364,TCGA-WQ-A9G7-01,HRAS,over,       3.400,628
2339509,TCGA-DE-A7U5-01,HRAS,normal,      -0.347,542
1781111,TCGA-33-4582-01,HRAS,normal,       0.380,418
2339331,TCGA-DD-AACA-01,HRAS,normal,      -0.406,628
1913343,TCGA-AK-3447-01,HRAS,normal,       1.748,416
2457285,TCGA-DX-AB3C-01,HRAS,normal,       0.659,635
2262781,TCGA-S9-A6WD-01,HRAS,normal,      -0.027,545
2339530,TCGA-XF-A9SZ-01,HRAS,normal,      -0.161,413
1779938,TCGA-BP-5010-01,HRAS,normal,       0.813,416
2193474,TCGA-BA-A6DB-01,HRAS,normal,       0.209,627
2120251,TCGA-06-0171-02,HRAS,normal,      -1.504,329
2120352,TCGA-32-2632-01,HRAS,normal,      -0.289,329
